Brand,Price,Height,Width,Depth,Style,Capacity
AccuCold,$869.00,"Height: 21.5""","Width: 17.5""","Depth: 21.5""",Style: All Refrigerator,Total Capacity: 1 cu. ft.
Summit,$459.00,"Height: 22.25""","Width: 15.88""","Depth: 19.5""",Style: All Refrigerator,Total Capacity: 1.1 cu. ft.
Magic Chef,$134.99,"Height: 19.5""","Width: 17.3""","Depth: 18.9""",Style: All Refrigerator,Total Capacity: 1.7 cu. ft.
Avanti,$139.00,"Height: 20.25""","Width: 17""","Depth: 19""",Style: All Refrigerator,Total Capacity: 1.7 cu. ft.
Magic Chef,$139.00,"Height: 19.5""","Width: 17.3""","Depth: 18.9""",Style: Half Width Freezer Compartment,Total Capacity: 1.7 cu. ft.
Summit,$289.99,"Height: 20.75""","Width: 18.75""","Depth: 17.5""",Style: All Refrigerator,Total Capacity: 1.7 cu.ft.
AccuCold,"$1,769.00","Height: 58.38""","Width: 23.63""","Depth: 24.63""",Style: All Refrigerator,Total Capacity: 10.1 cu. ft.
LG,"$1,195.00","Height: 68.375""","Width: 23.5""","Depth: 25.375""",Style: Bottom Freezer,Total Capacity: 10.1 cu. ft.
Frigidaire,$609.00,"Height: 59.875""","Width: 23.75""","Depth: 26""",Style: Top Freezer,Total Capacity: 10.1 cu. ft.
Frigidaire,$609.00,"Height: 59.875""","Width: 23.75""","Depth: 26""",Style: Top Freezer,Total Capacity: 10.1 cu. ft.
AccuCold,$879.00,"Height: 55.5""","Width: 23.63""","Depth: 24.75""",Style: All Refrigerator,Total Capacity: 10.1 cu.ft.
Impecca,$789.00,"Height: 76.85""","Width: 23.43""","Depth: 23.5""",Style: Bottom Freezer,Total Capacity: 10.2 cu. ft.
Whirlpool,$529.00,"Height: 61.75""","Width: 24.5""","Depth: 28.25""",Style: Top Freezer,Total Capacity: 10.7 cu. ft.
LG,"$1,495.00","Height: 67.71""","Width: 23.42""","Depth: 26.65""",Style: Bottom Freezer,Total Capacity: 10.8 cu. ft.
Summit,"$1,399.00","Height: 72.75""","Width: 23.25""","Depth: 26.75""",Style: Bottom Freezer,Total Capacity: 11 cu. ft.
Summit,"$1,379.00","Height: 72.75""","Width: 23.25""","Depth: 26.75""",Style: Bottom Freezer,Total Capacity: 11 cu. ft.
Liebherr,"$3,499.00","Height: 69.6875""","Width: 22.0625""","Depth: 21.4375""",Style: Bottom Freezer,Total Capacity: 11.1 cu. ft.
Liebherr,"$1,899.00","Height: 71.6875""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 11.1 cu. ft.
Liebherr,"$1,899.00","Height: 71.6875""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 11.1 cu. ft.
LG,$695.00,"Height: 65.5""","Width: 24""","Depth: 26""",Style: Top Freezer,Total Capacity: 11.1 cu. ft.
Blomberg,"$1,499.00","Height: 72.625""","Width: 23.4375""","Depth: 25.75""",Style: Bottom Freezer,Total Capacity: 11.35 cu. ft.
Blomberg,"$1,599.00","Height: 72.625""","Width: 23.4375""","Depth: 25.75""",Style: Bottom Freezer,Total Capacity: 11.35 cu. ft.
Summit,"$1,189.00","Height: 72.63""","Width: 23.25""","Depth: 26.75""",Style: Bottom Freezer,Total Capacity: 11.35 cu. ft.
Summit,"$1,199.00","Height: 72.75""","Width: 23.25""","Depth: 26.75""",Style: Bottom Freezer,Total Capacity: 11.35 cu. ft.
Summit,"$1,139.00","Height: 72.75""","Width: 23.25""","Depth: 26.75""",Style: Bottom Freezer,Total Capacity: 11.35 cu. ft.
Blomberg,$949.00,"Height: 67.5625""","Width: 23.4375""","Depth: 24.4375""",Style: Bottom Freezer,Total Capacity: 11.43 cu. ft.
GE,$875.00,"Height: 59.875""","Width: 24""","Depth: 28.625""",Style: Top Freezer,Total Capacity: 11.55 cu. ft.
GE,$965.00,"Height: 59.875""","Width: 24""","Depth: 28.625""",Style: Top Freezer,Total Capacity: 11.55 cu. ft.
Summit,"$1,129.00","Height: 74.38""","Width: 23.63""","Depth: 27""",Style: Bottom Freezer,Total Capacity: 11.6 cu. ft.
