Brand,Price,Height,Width,Depth,Style,Capacity
AccuCold,869.00,21.50,17.50,21.50,All Refrigerator,1.00
Summit,459.00,22.25,15.88,19.50,All Refrigerator,1.10
Magic Chef,134.99,19.50,17.30,18.90,All Refrigerator,1.70
Avanti,139.00,20.25,17.00,19.00,All Refrigerator,1.70
Magic Chef,139.00,19.50,17.30,18.90,Half Width Freezer Compartment,1.70
Summit,289.99,20.75,18.75,17.50,All Refrigerator,1.70
AccuCold,1769.00,58.38,23.63,24.63,All Refrigerator,10.10
LG,1195.00,68.38,23.50,25.38,Bottom Freezer,10.10
Frigidaire,609.00,59.88,23.75,26.00,Top Freezer,10.10
Frigidaire,609.00,59.88,23.75,26.00,Top Freezer,10.10
AccuCold,879.00,55.50,23.63,24.75,All Refrigerator,10.10
Impecca,789.00,76.85,23.43,23.50,Bottom Freezer,10.20
Whirlpool,529.00,61.75,24.50,28.25,Top Freezer,10.70
LG,1495.00,67.71,23.42,26.65,Bottom Freezer,10.80
Summit,1399.00,72.75,23.25,26.75,Bottom Freezer,11.00
Summit,1379.00,72.75,23.25,26.75,Bottom Freezer,11.00
Liebherr,3499.00,69.69,22.06,21.44,Bottom Freezer,11.10
Liebherr,1899.00,71.69,23.63,24.81,Bottom Freezer,11.10
Liebherr,1899.00,71.69,23.63,24.81,Bottom Freezer,11.10
LG,695.00,65.50,24.00,26.00,Top Freezer,11.10
Blomberg,1499.00,72.63,23.44,25.75,Bottom Freezer,11.35
Blomberg,1599.00,72.63,23.44,25.75,Bottom Freezer,11.35
Summit,1189.00,72.63,23.25,26.75,Bottom Freezer,11.35
Summit,1199.00,72.75,23.25,26.75,Bottom Freezer,11.35
Summit,1139.00,72.75,23.25,26.75,Bottom Freezer,11.35
Blomberg,949.00,67.56,23.44,24.44,Bottom Freezer,11.43
GE,875.00,59.88,24.00,28.63,Top Freezer,11.55
GE,965.00,59.88,24.00,28.63,Top Freezer,11.55
Summit,1129.00,74.38,23.63,27.00,Bottom Freezer,11.60
Summit,1149.00,74.38,23.63,27.00,Bottom Freezer,11.60
Frigidaire,649.00,59.88,23.75,28.75,Top Freezer,11.60
Frigidaire,649.00,59.88,23.75,28.75,Top Freezer,11.60
Liebherr,3299.00,79.56,23.63,24.81,Bottom Freezer,11.90
Liebherr,3299.00,79.56,23.63,24.81,Bottom Freezer,11.90
Liebherr,3299.00,79.56,23.63,24.81,Bottom Freezer,11.90
AccuCold,1729.00,61.75,23.38,26.13,All Refrigerator,12.00
AccuCold,2899.00,61.75,23.38,26.13,All Refrigerator,12.00
Chambers,2399.00,76.38,23.62,26.34,Bottom Freezer,12.00
Summit,1199.00,78.88,23.63,25.63,Bottom Freezer,12.50
Summit,1199.00,78.88,23.63,25.63,Bottom Freezer,12.50
Blomberg,899.00,67.75,27.56,26.69,Top Freezer,12.56
Blomberg,1149.00,67.75,27.56,26.69,Top Freezer,12.56
Liebherr,2799.00,79.19,23.63,24.81,Bottom Freezer,12.70
Liebherr,2799.00,79.19,23.63,24.81,Bottom Freezer,12.70
Liebherr,2699.00,79.56,23.63,24.81,Bottom Freezer,12.70
Liebherr,2199.00,79.56,23.63,24.81,Bottom Freezer,12.70
Miele,2899.00,79.50,23.50,24.81,Bottom Freezer,12.75
Liebherr,1999.00,66.19,29.56,24.81,Bottom Freezer,12.80
Liebherr,1999.00,66.19,29.56,24.81,Bottom Freezer,12.80
Summit,1499.00,79.25,23.63,27.25,Bottom Freezer,12.81
Summit,1219.00,79.25,23.63,27.25,Bottom Freezer,12.81
Summit,1529.00,79.25,23.63,27.25,Bottom Freezer,12.81
Summit,719.00,69.25,26.00,27.75,Top Freezer,12.90
Summit,759.00,69.25,26.00,27.75,Top Freezer,12.90
Summit,979.00,67.75,27.63,27.63,Top Freezer,13.00
Fisher Paykel,2049.00,67.75,25.00,27.38,Bottom Freezer,13.40
Fisher Paykel,2249.00,67.54,25.00,29.00,Bottom Freezer,13.40
Beko,849.00,67.75,27.50,24.63,Top Freezer,13.53
Summit,1299.00,70.75,26.75,26.75,French Door,13.70
Blomberg,949.00,75.19,27.50,24.60,Bottom Freezer,13.80
Beko,699.00,67.75,27.50,24.63,Top Freezer,13.84
Frigidaire,560.10,59.88,27.63,29.38,Top Freezer,13.90
Frigidaire,543.00,59.88,27.63,29.38,Top Freezer,13.90
Frigidaire,649.00,59.88,27.63,29.38,Top Freezer,13.90
Frigidaire,619.00,59.88,27.63,29.38,Top Freezer,13.90
